this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
,Global Affairs Canada,Affaires mondiales Canada,,Global Affairs Canada,Affaires mondiales Canada
LEVEL2ID = 200,ACM - International Platform,ACM - Plateforme internationale,LEVEL2ID = 200,ACM - International Platform,ACM - Plateforme internationale
LEVEL3ID = 305,BTD - Trade Commissioner Service - Operations,BTD - Service des délégués commerciaux - Opérations,LEVEL3ID = 305,BTD - Trade Commissioner Service - Operations,BTD - Service des délégués commerciaux - Opérations
LEVEL3ID = 306,BBD - Trade Sectors,BBD - Secteurs commerciaux,LEVEL3ID = 306,BBD - Trade Sectors,BBD - Secteurs commerciaux
LEVEL3ID = 307,BSD - Regional Trade Operations and Intergovernmental Relations,BSD - Opérations commerciales régionales et relations intergouvernementales,LEVEL3ID = 307,BSD - Regional Trade Operations and Intergovernmental Relations,BSD - Opérations commerciales régionales et relations intergouvernementales
LEVEL2ID = 202,"CFM - Consular, Security and Emergency Management","CFM - Services consulaires, sécurité et gestion des mesures d'urgence",LEVEL2ID = 202,"CFM - Consular, Security and Emergency Management","CFM - Services consulaires, sécurité et gestion des mesures d'urgence"
LEVEL3ID = 309,CSD - Security and Emergency Management,CSD - Sécurité et gestion des urgences,LEVEL3ID = 309,CSD - Security and Emergency Management,CSD - Sécurité et gestion des urgences
LEVEL2ID = 204,DCD - Corporate Secretary,DCD - Secrétaire des services intégrés,LEVEL2ID = 204,DCD - Corporate Secretary,DCD - Secrétaire des services intégrés
LEVEL3ID = 312,DCP - Access to Information and Privacy,DCP - Accès à l'information et protection des renseignements personnels,LEVEL3ID = 312,DCP - Access to Information and Privacy,DCP - Accès à l'information et protection des renseignements personnels
LEVEL2ID = 205,DSMX - Summits Management Office,DSMX - Bureau de la gestion des sommets,LEVEL2ID = 205,DSMX - Summits Management Office,DSMX - Bureau de la gestion des sommets
LEVEL2ID = 207,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP),LEVEL3ID = 319,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP)
LEVEL3ID = 318,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP),LEVEL3ID = 319,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP)
LEVEL2ID = 208,HCM - Human Resources,HCM - Ressources Humaines,LEVEL2ID = 207,HCM - Human Resources,HCM - Ressources Humaines
LEVEL3ID = 321,HFD - Assignments and Executive Management,HFD - Affectations et gestion des cadres,LEVEL3ID = 320,HFD - Assignments and Executive Management,HFD - Affectations et gestion des cadres
LEVEL3ID = 322,CFSI - Canadian Foreign Service Institute,CFSI - Institut canadien du service extérieur,LEVEL3ID = 321,CFSI - Canadian Foreign Service Institute,CFSI - Institut canadien du service extérieur
LEVEL2ID = 213,LCM - Public Affairs,LCM - Affaires publiques,LEVEL2ID = 212,LCM - Public Affairs,LCM - Affaires publiques
LEVEL2ID = 214,MFM - Global Issues and Development,MFM - Enjeux mondiaux et du développement,LEVEL2ID = 213,MFM - Global Issues and Development,MFM - Enjeux mondiaux et du développement
LEVEL3ID = 335,MID - International Organizations,MID - Organisations internationales,LEVEL3ID = 335,MID - International Organizations,MID - Organisations internationales
LEVEL3ID = 337,NND - North America Advocacy and Commercial Programs,NND - Promotion des intérêts et programmes commerciaux de l'Amérique du Nord,LEVEL3ID = 337,NND - North America Advocacy and Commercial Programs,NND - Promotion des intérêts et programmes commerciaux de l'Amérique du Nord
