Public Service Employee Survey Questions	2020 PSES	2019 PSES	2018 PSES	2017 PSES	2014 PSES
I have the tools, technology and equipment I need to do my job. table 1 note**	1	N/A	N/A	N/A	N/A
The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.	2	N/A	N/A	2	2
My physical environment (e.g., office, workspace) is suitable for my job requirements.	3	3	N/A	4	4
I get the training I need to do my job.	4	4	1	5	5
I have the information, training and equipment I need to ensure my health and safety at work.	5	5	N/A	8	8
I have support at work to balance my work and personal life.	6	6	4	9	9
I get a sense of satisfaction from my work.	7	7	5	11	11
I receive meaningful recognition for work well done.	8	8	6	12	12
I have clear work objectives.	9	9	7	13	N/A
I know how my work contributes to the achievement of my department’s or agency’s goals.	10	10	8	14	13
Overall, I feel valued at work.	11	11	9	15	N/A
I am proud of the work that I do.	12	12	10	16	15
I have opportunities to provide input into decisions that affect my work.	13	13	11	17	16
I am encouraged to be innovative or to take initiative in my work.	14	14	12	18	17
I have support at work to provide a high level of service.	15	15	13	19	18
Overall, I like my job.	16	16	14	20	19
I can complete my assigned workload during my regular working hours.	17	17	15	21	20
I feel that the quality of my work suffers because of... constantly changing priorities.	18a	18a	16a	22a	21a
I feel that the quality of my work suffers because of... lack of stability in my department or agency.	18b	18b	16b	22b	21b
I feel that the quality of my work suffers because of... too many approval stages.	18c	18c	16c	22c	21c
I feel that the quality of my work suffers because of... unreasonable deadlines.	18d	18d	16d	22d	21d
I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.	18e	18e	16e	22e	21e
I feel that the quality of my work suffers because of... high staff turnover.	18f	18f	16f	22f	21f
I feel that the quality of my work suffers because of... overly complicated or unnecessary business processes.	18g	18g	16g	22g	21g
I feel that the quality of my work suffers because of... unreliable technology.	18h	18h	N/A	N/A	N/A
I am satisfied with how interpersonal issues are resolved in my work unit.	19	20	17	24	24
In my work unit, every individual is accepted as an equal member of the team.	20	21	18	25	25
In my work unit, individuals behave in a respectful manner.	21	22	20	29	29
The people I work with value my ideas and opinions.	22	23	21	N/A	N/A
In my work unit, I would feel free to speak about racism in the workplace without fear of reprisal. (Racism refers to any individual action or institutional practice which treats people differently because of their colour or ethnicity.)table 1 note*	23	N/A	N/A	N/A	 
My immediate supervisor encourages me to work collaboratively with others outside of my work unit.	24	24	N/A	N/A	N/A
I receive useful feedback from my immediate supervisor on my job performance.	25	25	22	30	30
I feel that my immediate supervisor supports my career goals.table 1 note*	26	N/A	N/A	N/A	N/A
My immediate supervisor keeps me informed about the issues affecting my work.	27	27	24	32	32
Since the beginning of the COVID-19 pandemic, have you requested flexible work hours, either formally or informally?table 1 note*	28	N/A	N/A	N/A	N/A
During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours. table 1 note**	29	N/A	N/A	N/A	N/A
I am satisfied with the quality of supervision I receive.	30	31	26	37	36
Senior managers in my department or agency lead by example in ethical behaviour.	31	34	29	40	39
I have confidence in the senior management of my department or agency.	32	35	30	41	40
Senior management in my department or agency makes effective and timely decisions.	33	36	31	42	41
Essential information flows effectively from senior management to staff.	34	37	32	44	43
Senior managers in my department or agency use both official languages in their interactions with employees.	35	38	N/A	N/A	N/A
My department or agency does a good job of communicating its vision, mission and goals.	36	39	33	45	45
I feel that change is managed well in my department or agency.	37	40	N/A	N/A	N/A
If I am faced with an ethical dilemma or a conflict between values in the workplace, I know where I can go for help in resolving the situation.	38	41	34	47	48
My department or agency does a good job of promoting values and ethics in the workplace.	39	42	35	N/A	N/A
I feel I can initiate a formal recourse process (e.g., grievance, complaint, appeal) without fear of reprisal.	40	43	36	49	50
My department or agency does a good job of supporting employee career development.	41	44	37	52	53
I believe I have opportunities for promotion within my department or agency, given my education, skills and experience.	42	45	38	53	54
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? table 1 note**	43	46	N/A	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Conflict between my work obligations and my family or personal obligations	43a	46a	N/A	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of access to learning opportunities	43b	46c	N/A	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Discrimination	43c	46g	N/A	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Accessibility or accommodation issues	43d	46h	N/A	N/A	N/A
I feel I would be supported by my department or agency if I proposed a new idea.	44	47	39	54	N/A
I think that my department or agency respects individual differences (e.g., culture, work styles, ideas, abilities).table 1 note**	45	48	41	56	56
My department or agency implements activities and practices that support a diverse workplace.	46	49	40	55	55
My department or agency implements initiatives that promote anti-racism in the workplace. table 1 note*	47	N/A	N/A	N/A	N/A
I would feel comfortable sharing concerns about issues related to racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsman, human resources advisor).table 1 note*	48	N/A	N/A	N/A	N/A
Overall, my department or agency treats me with respect.	49	50	42	57	57
I would recommend my department or agency as a great place to work.	50	51	43	58	58
I am satisfied with my department or agency.	51	52	44	59	59
I would prefer to remain with my department or agency, even if a comparable job was available elsewhere in the federal public service.	52	53	45	60	60
Do you intend to leave your current position in the next two years?	53	54	46	61	61
Please indicate your reason for leaving.	54	55	47	62	62
Having carefully read the definition of harassment, have you been the victim of harassment on the job in the past 12 months?	55	58	48	N/A	N/A
From whom did you experience harassment on the job?	56	59	49	N/A	N/A
Please indicate the nature of the harassment you experienced.	57	60	50	N/A	N/A
What action(s) did you take to address the harassment you experienced?	58	61	51	N/A	N/A
Why did you not file a grievance or formal complaint about the harassment you experienced?	59	62	52	N/A	N/A
I am satisfied with how matters related to harassment are resolved in my department or agency.	60	64	53	69	68
My department or agency works hard to create a workplace that prevents harassment.	61	65	54	70	69
Having carefully read the definition of discrimination, have you been the victim of discrimination on the job in the past 12 months?	62	66	55	N/A	N/A
From whom did you experience discrimination on the job?	63	67	56	N/A	N/A
Please indicate the type of discrimination you experienced.	64	68	57	N/A	N/A
What action(s) did you take to address the discrimination you experienced?	65	69	58	N/A	N/A
Why did you not file a grievance or a formal complaint about the discrimination you experienced?	66	70	59	N/A	N/A
I am satisfied with how matters related to discrimination are resolved in my department or agency.	67	72	60	81	79
My department or agency works hard to create a workplace that prevents discrimination.	68	73	61	82	80
I am satisfied with how concerns or complaints about racism in the workplace are resolved in my department or agency.table 1 note*	69	N/A	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? table 1 note**	70	74	62	83	N/A
Overall, to what extent do the following factors cause you stress at work? Risk of exposure to COVID-19table 1 note*	70a	N/A	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Pay or other compensation-related issues	70b	74a	62a	83a	N/A
Overall, to what extent do the following factors cause you stress at work? Heavy workload	70c	74b	62b	83b	N/A
Overall, to what extent do the following factors cause you stress at work? Unreasonable deadlines	70d	74c	62c	83c	N/A
Overall, to what extent do the following factors cause you stress at work? Not enough employees to do the work	70e	74d	62d	83d	N/A
Overall, to what extent do the following factors cause you stress at work? Overtime or long work hours	70f	74e	62e	83e	N/A
Overall, to what extent do the following factors cause you stress at work? Balancing work and personal life	70g	74f	62f	83f	N/A
Overall, to what extent do the following factors cause you stress at work? Balancing work and caregiving responsibilities (e.g., children, elderly, family member(s)) during the COVID-19 pandemictable 1 note*	70h	N/A	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Lack of control or input in decision-making	70i	74g	62g	83g	N/A
Overall, to what extent do the following factors cause you stress at work? Competing or constantly changing priorities	70j	74h	62h	83h	N/A
Overall, to what extent do the following factors cause you stress at work? Lack of clear expectations	70k	74i	62i	83i	N/A
Overall, to what extent do the following factors cause you stress at work? Lack of recognition	70l	74j	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Feeling disconnected from colleaguestable 1 note*	70m	N/A	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Information overload	70n	74k	62j	83j	N/A
Overall, to what extent do the following factors cause you stress at work? Physical work environment	70o	74l	62k	83k	N/A
Overall, to what extent do the following factors cause you stress at work? Difficulty accessing my work tools or network (e.g., work email, work device, ergonomic equipment)table 1 note*	70p	N/A	N/A	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Accessibility or accommodations issues	70q	74m	62l	N/A	N/A
Overall, to what extent do the following factors cause you stress at work? Harassment or discrimination	70r	74n	62m	83l	N/A
Overall, to what extent do the following factors cause you stress at work? Issue(s) with my co-worker(s)	70s	74o	62n	83m	N/A
Overall, to what extent do the following factors cause you stress at work? Issue(s) with individuals with authority over me	70t	74p	62o	83n	N/A
Overall, to what extent do the following factors cause you stress at work? Issue(s) with individual(s) working for me	70u	74q	62p	83o	N/A
Overall, to what extent do the following factors cause you stress at work? Issue(s) with other individual(s) (e.g., members of the public, individuals from other departments or agencies)	70v	74r	62q	83p	N/A
Overall, to what extent do the following factors cause you stress at work? Lack of job security	70w	74s	62r	83q	N/A
Overall, to what extent do the following factors cause you stress at work? Personal issues	70x	74t	62s	83r	N/A
To what extent is stress from the COVID-19 pandemic negatively impacting your ability to carry out day-to-day work responsibilities?table 1 note*	71	N/A	N/A	N/A	N/A
Overall, my level of work-related stress is…	72	75	63	84	N/A
After my workday, I feel emotionally drained.	73	76	64	85	N/A
My department or agency does a good job of raising awareness of mental health in the workplace.	74	77	65	86	N/A
I believe senior managers in my department or agency take adequate steps to support the mental health of employees during the COVID-19 pandemic.table 1 note*	75	N/A	N/A	N/A	N/A
I would feel comfortable sharing concerns with my immediate supervisor about my mental health.table 1 note*	76	N/A	N/A	N/A	N/A
My immediate supervisor supports my mental health and well-being.table 1 note*	77	N/A	N/A	N/A	N/A
I would describe my workplace as being psychologically healthy.	78	78	66	87	N/A
I feel that the information I receive from my department or agency related to the COVID-19 pandemic is… Clear and easy to understand.table 1 note*	79a	N/A	N/A	N/A	N/A
I feel that the information I receive from my department or agency related to the COVID-19 pandemic is… Provided in a timely manner.table 1 note*	79b	N/A	N/A	N/A	N/A
I feel that the information I receive from my department or agency related to the COVID-19 pandemic is… Relevant to the work that I do. table 1 note*	79c	N/A	N/A	N/A	N/A
I feel that the information I receive from my department or agency related to the COVID-19 pandemic is… Consistent with the information provided to me by my immediate supervisor.table 1 note*	79d	N/A	N/A	N/A	N/A
I feel that the information I receive from my department or agency related to the COVID-19 pandemic is… Available in both official languages. table 1 note*	79e	N/A	N/A	N/A	N/A
During the COVID-19 pandemic, my department or agency has effectively communicated the mental health services and resources that are available to me.table 1 note*	80	N/A	N/A	N/A	N/A
I would feel comfortable sharing concerns with my immediate supervisor about my physical health and safety.table 1 note*	81	N/A	N/A	N/A	N/A
I am satisfied with the measures my department or agency is taking to protect my physical health and safety during the COVID-19 pandemic.table 1 note*	82	N/A	N/A	N/A	N/A
Are you a supervisor?	83	32	27	38	37
I am equipped to support employees in my work unit who are experiencing mental health issues.	84	33	N/A	N/A	N/A
Since the start of the COVID-19 pandemic, have you managed any employees who have been working remotely?table 1 note*	85	N/A	N/A	N/A	N/A
My department or agency has provided me with adequate training and/or resources to manage a remote team during the COVID-19 pandemic.table 1 note*	86	N/A	N/A	N/A	N/A
Having carefully read the definition of duty to accommodate, did you have workplace accommodation measures in place before the COVID-19 pandemic which are no longer being met?table 1 note*	87	N/A	N/A	N/A	N/A
Having carefully read the definition of duty to accommodate, have you requested workplace accommodation measures in the last two years?table 1 note**	88	79	N/A	88	81
Were the requests for workplace accommodation measures related to a disability?table 1 note*	89	N/A	N/A	N/A	N/A
Were any workplace accommodation measures implemented?table 1 note**	90	80	N/A	89	82
I am satisfied with the workplace accommodation measures that were implemented.table 1 note**	91	81	N/A	90	83
I would feel comfortable requesting workplace accommodation measures from my immediate supervisor.table 1 note*	92	N/A	N/A	N/A	N/A
In the last 12 months, has your pay or other compensation been affected by issues with the Phoenix pay system?table 1 note**	93	N/A	N/A	N/A	N/A
Have all your pay or other compensation issues been resolved?table 1 note**	94	N/A	N/A	N/A	N/A
I am satisfied with the support (e.g., regular information, follow-up, making enquiries on my behalf, offering emergency or priority pay) I received from my department or agency to help resolve my pay or other compensation issues.table 1 note**	95	N/A	N/A	N/A	N/A
I am satisfied with the support I received from the Pay Centre to help resolve my pay or other compensation issues.table 1 note**	96	N/A	N/A	N/A	N/A
To what extent have issues with the Phoenix pay system affected your decision to seek or accept another position (e.g., deployment, promotion, secondment, assignment, acting assignment) within your organization or the federal public service?	97	87	73	N/A	N/A
For which department or agency are you currently working?	98	88	74	96,97	84
In which organizational unit are you currently working?	99	89	75	98	85
Are you currently a shift worker?	100	90	76	99	86
Do you work full-time or part-time?	101	91	N/A	100	87
Which of the following best describes your current work situation? Working on-sitetable 1 note*	102a	N/A	N/A	N/A	N/A
Which of the following best describes your current work situation? Working remotely or teleworkingtable 1 note*	102b	N/A	N/A	N/A	N/A
Which of the following best describes your current work situation? A combination of working on-site and working remotely or teleworkingtable 1 note*	102c	N/A	N/A	N/A	N/A
Which of the following best describes your current work situation? Othertable 1 note*	102d	N/A	N/A	N/A	N/A
During the COVID-19 pandemic, have you taken “Other Leave with Pay” (code 699 or its equivalent) specifically related to the COVID-19 pandemic?table 1 note*	103	N/A	N/A	N/A	N/A
Since the beginning of November 2020, have you taken “Other Leave with Pay” (code 699 or its equivalent) specifically related to the COVID-19 pandemic?table 1 note*	104	N/A	N/A	N/A	N/A
What is your current employee status?	105	93	77	102	89
Please indicate your occupational group.	106a	94a	78a	103a	90
Please indicate your level.	106b	94b	78b	103b	91
With which of the following communities do you most closely identify in relation to your current job?	107	95	79	104	92
In total, how many years have you been working in the federal public service?	108	96	80	105	93
In total, how many years have you been working in your current department or agency?	109	97	81	106	94
What is your first official language?	110	98	82	107	95
Do you occupy a position in which you provide services directly to the public as a regular part of your job?	111	100	83	109	97
In which province or territory do you work?	112	102	84	111	99
Do you work in one of the following designated bilingual areas of Quebec or Ontario?	113	103	N/A	112	100
What is your age group?	114	104	85	113	101
What is your gender?	115	105	86	114	102
Are you an Indigenous person?table 1 note**	116	106	87	116	104
You indicated that you are an Indigenous person. If you wish to provide further details, please specify the group to which you belong.table 1 note**	117	107	N/A	N/A	N/A
Are you a person with a disability?table 1 note**	118	108	88	117	105
You indicated that you are a person with a disability. If you wish to provide further details, please select the box(es) that apply to you.  table 1 note**	119	109	N/A	N/A	N/A
Are you a member of a visible minority group?	120	110	89	118	106
You indicated that you are a member of a visible minority group. If you wish to provide further details, please select the box(es) that apply to you.	121	111	N/A	N/A	N/A
What is your sexual orientation?	122	112	90	N/A	N/A
